epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,17192.6,1.14173,0.68869,1.01382,0.51224,0.26619,0.2903,0.15077,1.51896,1.07201,1.2003,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,17724.8,1.12466,0.6763,1.00648,0.51205,0.2663,0.28959,0.15097,1.52074,1.07131,1.20088,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,18257.1,1.10963,0.66684,1.00217,0.51727,0.26578,0.28967,0.15085,1.52223,1.07084,1.20186,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,18790.1,1.09828,0.65862,0.99688,0.50677,0.27069,0.28883,0.1509,1.52286,1.07169,1.20212,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,19323.5,1.08408,0.64917,0.99249,0.50749,0.26958,0.28848,0.15078,1.52381,1.07468,1.20311,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,19855.8,1.06828,0.63874,0.98661,0.5086,0.26961,0.28784,0.15021,1.52569,1.07808,1.20428,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,20387.3,1.05679,0.63038,0.98157,0.5036,0.27022,0.28688,0.14989,1.52675,1.0804,1.20492,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,20918.2,1.04507,0.62315,0.97767,0.50619,0.26845,0.28605,0.14929,1.52793,1.08369,1.20593,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,21449.7,1.03209,0.61468,0.97437,0.50678,0.26754,0.28533,0.14885,1.52925,1.08713,1.20684,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,21981.8,1.02232,0.60875,0.97025,0.50802,0.26607,0.28493,0.14843,1.53052,1.09063,1.20796,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
